[2020-12-10T17:16:09.397879+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-10T17:18:43.644933+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-10T17:19:58.499286+08:00] log.DEBUG: SELECT `city_id` AS `lf`, `city` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_city` [] []
[2020-12-10T17:19:58.710780+08:00] log.DEBUG: SELECT `position_id` AS `lf`, `position` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_position` [] []
[2020-12-10T17:19:58.968955+08:00] log.DEBUG: SELECT `status_id` AS `lf`, `status` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_status` [] []
[2020-12-10T17:19:59.208083+08:00] log.DEBUG: SELECT `skill_id` AS `lf`, `skill` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_skill` [] []
[2020-12-10T17:19:59.370999+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-10T17:19:59.529684+08:00] log.DEBUG: SELECT `userlevelid` AS `lf`, `userlevelname` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `userlevels` [] []
[2020-12-10T17:20:46.506618+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-10T17:21:29.181207+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-10T17:30:40.156642+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-10T17:30:49.511535+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-10T17:31:10.230865+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-10T19:01:46.475636+08:00] log.DEBUG: SELECT `city_id` AS `lf`, `city` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_city` [] []
[2020-12-10T19:01:46.786147+08:00] log.DEBUG: SELECT `position_id` AS `lf`, `position` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_position` [] []
[2020-12-10T19:01:47.126354+08:00] log.DEBUG: SELECT `status_id` AS `lf`, `status` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_status` [] []
[2020-12-10T19:01:47.570987+08:00] log.DEBUG: SELECT `skill_id` AS `lf`, `skill` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_skill` [] []
[2020-12-10T19:01:47.755071+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-10T19:18:02.791278+08:00] log.DEBUG: SELECT `city_id` AS `lf`, `city` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_city` [] []
[2020-12-10T19:18:03.018356+08:00] log.DEBUG: SELECT `position_id` AS `lf`, `position` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_position` [] []
[2020-12-10T19:18:03.346267+08:00] log.DEBUG: SELECT `status_id` AS `lf`, `status` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_status` [] []
[2020-12-10T19:18:03.581071+08:00] log.DEBUG: SELECT `skill_id` AS `lf`, `skill` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_skill` [] []
[2020-12-10T19:18:03.782897+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-10T19:53:01.974484+08:00] log.DEBUG: SELECT `city_id` AS `lf`, `city` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_city` [] []
[2020-12-10T19:53:02.206637+08:00] log.DEBUG: SELECT `status_id` AS `lf`, `status` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_status` [] []
[2020-12-10T19:53:02.391777+08:00] log.DEBUG: SELECT `position_id` AS `lf`, `position` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_position` [] []
[2020-12-10T19:53:02.703666+08:00] log.DEBUG: SELECT `office_id` AS `lf`, `office` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_office` [] []
[2020-12-10T19:53:02.877280+08:00] log.DEBUG: SELECT `skill_id` AS `lf`, `skill` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_skill` [] []
[2020-12-10T20:15:35.467616+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
[2020-12-10T20:24:11.774440+08:00] log.DEBUG: SELECT `employee_username` AS `lf`, `employee_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee` [] []
